company,dep_date,arr_date,das,trip,drag,drag_all,drag_date,drag_period,drag_time_s,drag_time_e,time_fished_min,hrs_dec,depth,depth_sd,id_status,com_status,order,family,class,total_catch_cat,total_catch_spp,categories,sci_name,alpha_code,com_name,sample_wt_lbs,total_wt_lbs,cpue
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Clupeiformes,Engraulidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Anchoa spinifer,EAH,Specule anchovy,0.6,1.52,0.38
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Pleuronectiformes,Cynoglossidae,Actinopterygii,Discarded catch,Bycatch species,Flat fish,Symphurus plagusia,YFS,Tongue fish,1,2.53,0.6325
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Paralonchurus brasiliensis,RLB,Banded croaker,1.7,7.36,1.84
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Tetraodontiformes,Tetraodontidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Colomesus psittacus,KOP,Banded puffer,0.45,0.45,0.1125
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Macrodon ancylodon,WKK,Bangamary,0.4,1.73,0.4325
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Micropogonias furnieri,CKM,Bashaw,4.5,4.5,1.125
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Decapoda,Malacostraca,Malacostraca,Discarded catch,Bycatch species,Shell fish,Hepatus gronovii,HGV,Box crab,0.2,0.87,0.2175
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Nebris microps,NBM,Butterfish,12,51.92,12.98
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,Yes,Siluriformes,Ariidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Bagre bagre,BEB,Catfish,6.5,28.13,7.0325
NHS,14/02/2019,24/02/2019,11,1,2,2,15/02/2019,Night,8:20:00 pm,12:20:00 am,4:00,4,10,Deep,Yes,No,Myliobatiformes,Myliobatidae,Elasmobranchii,Discarded catch,Bycatch species,Flat fish,Rhinoptera bonasus,MRB,Cownose stingray,1.12,1.12,0.28
