obsC,timeC,obsI,timeI
 111 ,2002, 11.35 ,704
 104 ,2003, 9.22 ,974
 146 ,2004, 16.13 ,2004
 514 ,2005, 107.85 ,467
 192 ,2006, 18.78 ,2006
 220 ,2007, 21.56 ,2007
 179 ,2008, 14.89 ,2008
 80 ,2009, 13.37 ,101
 195 ,2010, 5.38 ,931
 84 ,2011, 15.30 ,136
 104 ,2012, 21.47 ,193
 203 ,2013, 21.17 ,150
 617 ,2014, 22.30 ,2000
 782 ,2015, 32.20 ,1223
