obsC,timeC,obsI,timeI
29.7,2002,3.15,2002
50.4,2003,4.02,2003
55.8,2004,3.58,2004
61.3,2005,8.16,2005
58.6,2006,5.87,2006
59.9,2007,7.01,2007
59.2,2008,6.44,2008
38.2,2009,17.61,2009
26.1,2010,1.27,2010
11.2,2011,3.89,2011
15.4,2012,5.39,2012
18,2013,3.3,2013
329.5,2014,10.73,2014
211.4,2015,10.25,2015
