obsC,timeC,obsI,timeI
" 1,488 ",2002,43.84,2002
 636 ,2003,14.73,2003
 782 ,2004,21.97,2004
" 1,034 ",2005,37.80,2005
 908 ,2006,24.35,2006
 780 ,2007,19.41,2007
 829 ,2008,19.58,2008
 443 ,2009,23.08,2009
 882 ,2010,14.00,2010
 730 ,2011,20.36,2011
 669 ,2012,19.25,2012
 482 ,2013,12.54,2013
" 1,737 ",2014,24.46,2014
" 1,472 ",2015,18.62,2015
