obsC,timeC,obsI,timeI
586,2002,29.860,2002
577,2003,51.270,2003
415,2004,32.650,2004
613,2005,87.280,2005
504,2006,40.670,2006
513,2007,39.300,2007
573,2008,37.680,2008
627,2009,83.080,2009
648,2010,14.920,2010
280,2011,41.400,2011
322,2012,54.970,2012
586,2013,35.920,2013
651,2014,64.970,2014
283,2015,45.920,2015
