Nebris microps,Perciformes,Sciaenidae,Actinopterygii,NBM,"Cuvier, 1830"
Nematopalaemon schmitti,Decapoda,Palaemonidae,Malacostraca ,NLC,"Holthuis, 1950"
Ogcocephalus darwini,Lophiiformes ,Ogcocephalidae,Actinopterygii ,NA,"Hubbs, 1958"
Ophichthus gomesii,Anguilliformes,Ophichthidae,Actinopterygii,OOG,"Castelnau, 1855"
Paulita tuberculata,Decapoda ,Inachoididae ,Malacostraca ,NA,"Lemos de Castro, 1949"
Paralonchurus brasiliensis,Perciformes,Sciaenidae,Actinopterygii,RLB,"Steindachner, 1875"
Lonchurus elegans,Perciformes,Sciaenidae,Actinopterygii,RLE,"Boeseman, 1948"
Pellona harroweri,Clupeiformes,Pristigasteridae,Actinopterygii,NA,"Fowler, 1917"
Persephona lichtensteinii,Decapoda,Leucosiidae,Malacostraca ,NA,"Leach, 1817"
Petrochirus diogenes,Decapoda ,Diogenidae,Malacostraca ,NA,"Linnaeus, 1758"
Polymixia lowei,Polymixiiformes,Polymixiidae,Actinopterygii,NA,"Günther, 1859"
Porichthys pauciradiatus,Batrachoidiformes,Batrachoididae,Actinopterygii,NA,"Caldwell & Caldwell, 1963"
Pseudobatos percellens,Rhinopristiformes,Rhinobatidae,Elasmobranchii,NA,"Walbaum, 1792"
Renilla muelleri,Pennatulacea ,Renillidae ,Anthozoa,NA,"Kölliker, 1872"
Scomberomorus brasiliensis,Perciformes,Scombridae,Actinopterygii,BRS,"Collette, Russo & Zavala-Camin, 1978"
Scyphozoa sp.,Unknown,Unknown,Unknown,NA,unknown
Sphoeroides testudineus,Tetraodontiformes,Tetraodontidae,Actinopterygii,FDT,"Linnaeus, 1758"
Un id,Unknown,Unknown,Unknown,NA,unknown
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
polydactylus_virginicus,perciformes,polynemidae,,,
rhinoptera_bonasus,myliobatiformes,myliobatidae,,,
rypticus_maculatus,perciformes,sciaenidae,,,
selene_browni,perciformes,carangidae,,,
selene_vomer,perciformes,carangidae,,,
species ,order,family,,,
sphoeroides_parvus,tetraodontiformes,tetraodontidae,,,
sphorades_testudineus,tetraodontiformes,tetraodontidae,,,
sphyrindae_spp.,carcharhiniformes,chondrichthyes,,,
squilla_mantis,stomatopoda,squillidae,,,
stellifer_microps,perciformes,sciaenidae,,,
stellifer_rastrifer,perciformes,sciaenidae,,,
symphurus_plagusia,pleuronectiformes,cynoglossidae,,,
trichiurus_lepturus,perciformes,trichiuridae,,,
xiphopenaeus_kroyeri,decapoda,penaeidae,,,
urotrygon_microphthalmum,myliobatiformes,urotrygonidae,,,
